,Tweet_ID,Tweet_Text,Time_Of_Tweet,Tweet_Location,User_Native,Country,Language,Category,Sub_Category,Latitude,Longitude,Nearest_Assembly_Cord,Nearest_Assembly_Name
22980,22979,@MirrorNow Broiler is chicken. Boiler blast. Noticing mistakes on the ticker also @fayedsouza,11/1/2017 13:40,Bengaluru,Bangalore,India,en,Crime,Blast,12.919037,77.373474,"12.9242,  77.5191",Rajarajeswari Nagar
42,42,"4 people killed in building collapse after cylinder explosion at Ejipura in #Bengaluru, more details awaited. https://t.co/4WNIGZiCUD",10/16/2017 4:03,Bengaluru,BENGALURU,India,en,Crime,Explosion,12.919037,77.373474,"12.9242,  77.5191",Rajarajeswari Nagar
70,70,"4 people killed in building collapse after cylinder explosion at Ejipura in #Bengaluru, more details awaited. https://t.co/Sek2bPWUsn",10/16/2017 4:07,Bengaluru,BENGALURU,India,en,Crime,Explosion,12.919037,77.373474,"12.9242,  77.5191",Rajarajeswari Nagar
9835,9835,"#Odisha CM @Naveen_Odisha announces ex-gratia of Rs 2 lakh for kin of deceased and Rs 50,000 for those injured in #Balasore explosion.",10/18/2017 16:55,Bengaluru,BENGALURU,India,en,Crime,Explosion,12.919037,77.373474,"12.9242,  77.5191",Rajarajeswari Nagar
10307,10307,Bot loses eyesight due to crackers explosion LR Nagar in #Adugodi. Patient is rushed to Minto Hospital for treatment https://t.co/UddgksXCUe,10/18/2017 17:47,Bengaluru,BENGALURU,India,en,Crime,Explosion,12.919037,77.373474,"12.9242,  77.5191",Rajarajeswari Nagar
10612,10612,Boy loses eyesight due to crackers explosion LR Nagar in #Adugodi. Patient is rushed to Minto Hospital for treatment https://t.co/aGH61zpdfA,10/18/2017 18:29,Bengaluru,BENGALURU,India,en,Crime,Explosion,12.919037,77.373474,"12.9242,  77.5191",Rajarajeswari Nagar
182,182,@TheAsianAgeNews And Tillerson wl say Pakistan is doing a good job 2 eliminate terror. Whom do you believe USA and/Or China?,10/16/2017 4:24,Bengaluru,,India,en,Crime,Terror,12.919037,77.373474,"12.9242,  77.5191",Rajarajeswari Nagar
999,999,"@YusufDFI He's right. Rest of us are disposables.We get killed by pot holes, drown in sewers, targeted by terrorist… https://t.co/7TA0Vpo1R2",10/16/2017 6:19,Bengaluru South,Bangalore,India,en,Crime,Terror,12.731936,77.330578,"12.9242,  77.5191",Rajarajeswari Nagar
1092,1092,"A Hindu Mutt Swamini attends a rally organized by Islamic terror linked PFI- speaks out agnst PM, Cows https://t.co/Bof4e6t2xs",10/16/2017 6:32,Bengaluru,Bangalore,India,en,Crime,Terror,12.919037,77.373474,"12.9242,  77.5191",Rajarajeswari Nagar
2418,2418,@TimesNow Its a great job by the security forces to have captured 3 terrorists,10/16/2017 9:15,Bengaluru,,India,en,Crime,Terror,12.919037,77.373474,"12.9242,  77.5191",Rajarajeswari Nagar
